checkpointNum,timestamp,iteration,epoch,modelType,filename
0,1730935778130,6,0,MultiLayerNetwork,checkpoint_0_MultiLayerNetwork.zip
1,1730935809047,12,0,MultiLayerNetwork,checkpoint_1_MultiLayerNetwork.zip
2,1730935840156,18,0,MultiLayerNetwork,checkpoint_2_MultiLayerNetwork.zip
3,1730935871361,24,0,MultiLayerNetwork,checkpoint_3_MultiLayerNetwork.zip
4,1730935902745,30,0,MultiLayerNetwork,checkpoint_4_MultiLayerNetwork.zip
5,1730935934563,36,0,MultiLayerNetwork,checkpoint_5_MultiLayerNetwork.zip
6,1730935966346,42,0,MultiLayerNetwork,checkpoint_6_MultiLayerNetwork.zip
7,1730935997775,48,0,MultiLayerNetwork,checkpoint_7_MultiLayerNetwork.zip
8,1730936029244,54,0,MultiLayerNetwork,checkpoint_8_MultiLayerNetwork.zip
9,1730936061821,60,0,MultiLayerNetwork,checkpoint_9_MultiLayerNetwork.zip
10,1730936096205,66,0,MultiLayerNetwork,checkpoint_10_MultiLayerNetwork.zip
11,1730936127903,72,0,MultiLayerNetwork,checkpoint_11_MultiLayerNetwork.zip
12,1730936160069,78,0,MultiLayerNetwork,checkpoint_12_MultiLayerNetwork.zip
13,1730936191807,84,0,MultiLayerNetwork,checkpoint_13_MultiLayerNetwork.zip
14,1730936222606,90,0,MultiLayerNetwork,checkpoint_14_MultiLayerNetwork.zip
15,1730936253965,96,0,MultiLayerNetwork,checkpoint_15_MultiLayerNetwork.zip
16,1730936285207,102,0,MultiLayerNetwork,checkpoint_16_MultiLayerNetwork.zip
17,1730936317369,108,0,MultiLayerNetwork,checkpoint_17_MultiLayerNetwork.zip
18,1730936350703,114,0,MultiLayerNetwork,checkpoint_18_MultiLayerNetwork.zip
19,1730936383136,120,0,MultiLayerNetwork,checkpoint_19_MultiLayerNetwork.zip
20,1730936414800,125,0,MultiLayerNetwork,checkpoint_20_MultiLayerNetwork.zip
21,1730936451640,131,0,MultiLayerNetwork,checkpoint_21_MultiLayerNetwork.zip
22,1730936488478,137,0,MultiLayerNetwork,checkpoint_22_MultiLayerNetwork.zip
23,1730936518485,142,0,MultiLayerNetwork,checkpoint_23_MultiLayerNetwork.zip
24,1730936550148,147,0,MultiLayerNetwork,checkpoint_24_MultiLayerNetwork.zip
25,1730936586718,153,0,MultiLayerNetwork,checkpoint_25_MultiLayerNetwork.zip
26,1730936618890,159,0,MultiLayerNetwork,checkpoint_26_MultiLayerNetwork.zip
27,1730936650418,165,0,MultiLayerNetwork,checkpoint_27_MultiLayerNetwork.zip
28,1730936681267,171,0,MultiLayerNetwork,checkpoint_28_MultiLayerNetwork.zip
29,1730936712267,177,0,MultiLayerNetwork,checkpoint_29_MultiLayerNetwork.zip
30,1730936743207,183,0,MultiLayerNetwork,checkpoint_30_MultiLayerNetwork.zip
31,1730936774689,189,0,MultiLayerNetwork,checkpoint_31_MultiLayerNetwork.zip
32,1730936805461,195,0,MultiLayerNetwork,checkpoint_32_MultiLayerNetwork.zip
33,1730936836835,201,0,MultiLayerNetwork,checkpoint_33_MultiLayerNetwork.zip
34,1730936868292,207,0,MultiLayerNetwork,checkpoint_34_MultiLayerNetwork.zip
35,1730936899434,213,0,MultiLayerNetwork,checkpoint_35_MultiLayerNetwork.zip
