checkpointNum,timestamp,iteration,epoch,modelType,filename
0,1730649296011,6,0,MultiLayerNetwork,checkpoint_0_MultiLayerNetwork.zip
1,1730649330718,12,0,MultiLayerNetwork,checkpoint_1_MultiLayerNetwork.zip
2,1730649361128,17,0,MultiLayerNetwork,checkpoint_2_MultiLayerNetwork.zip
3,1730649396686,23,0,MultiLayerNetwork,checkpoint_3_MultiLayerNetwork.zip
4,1730649432191,29,0,MultiLayerNetwork,checkpoint_4_MultiLayerNetwork.zip
5,1730649467665,35,0,MultiLayerNetwork,checkpoint_5_MultiLayerNetwork.zip
6,1730649503175,41,0,MultiLayerNetwork,checkpoint_6_MultiLayerNetwork.zip
7,1730649538832,47,0,MultiLayerNetwork,checkpoint_7_MultiLayerNetwork.zip
8,1730649574312,53,0,MultiLayerNetwork,checkpoint_8_MultiLayerNetwork.zip
9,1730649609786,59,0,MultiLayerNetwork,checkpoint_9_MultiLayerNetwork.zip
10,1730649645298,65,0,MultiLayerNetwork,checkpoint_10_MultiLayerNetwork.zip
11,1730649680776,71,0,MultiLayerNetwork,checkpoint_11_MultiLayerNetwork.zip
12,1730649716237,77,0,MultiLayerNetwork,checkpoint_12_MultiLayerNetwork.zip
13,1730649750720,83,0,MultiLayerNetwork,checkpoint_13_MultiLayerNetwork.zip
