checkpointNum,timestamp,iteration,epoch,modelType,filename
0,1731104868067,7,0,MultiLayerNetwork,checkpoint_0_MultiLayerNetwork.zip
1,1731104900512,14,0,MultiLayerNetwork,checkpoint_1_MultiLayerNetwork.zip
2,1731104933069,21,0,MultiLayerNetwork,checkpoint_2_MultiLayerNetwork.zip
3,1731104965338,28,0,MultiLayerNetwork,checkpoint_3_MultiLayerNetwork.zip
4,1731104997165,35,0,MultiLayerNetwork,checkpoint_4_MultiLayerNetwork.zip
5,1731105029452,42,0,MultiLayerNetwork,checkpoint_5_MultiLayerNetwork.zip
6,1731105061335,49,0,MultiLayerNetwork,checkpoint_6_MultiLayerNetwork.zip
7,1731105093344,56,0,MultiLayerNetwork,checkpoint_7_MultiLayerNetwork.zip
8,1731105127619,63,0,MultiLayerNetwork,checkpoint_8_MultiLayerNetwork.zip
9,1731105160993,70,0,MultiLayerNetwork,checkpoint_9_MultiLayerNetwork.zip
10,1731105194048,77,0,MultiLayerNetwork,checkpoint_10_MultiLayerNetwork.zip
11,1731105226534,84,0,MultiLayerNetwork,checkpoint_11_MultiLayerNetwork.zip
12,1731105259111,91,0,MultiLayerNetwork,checkpoint_12_MultiLayerNetwork.zip
13,1731105292454,98,0,MultiLayerNetwork,checkpoint_13_MultiLayerNetwork.zip
14,1731105326125,105,0,MultiLayerNetwork,checkpoint_14_MultiLayerNetwork.zip
15,1731105359004,111,0,MultiLayerNetwork,checkpoint_15_MultiLayerNetwork.zip
16,1731105392552,118,0,MultiLayerNetwork,checkpoint_16_MultiLayerNetwork.zip
17,1731105424926,125,0,MultiLayerNetwork,checkpoint_17_MultiLayerNetwork.zip
18,1731105457343,132,0,MultiLayerNetwork,checkpoint_18_MultiLayerNetwork.zip
19,1731105492618,139,0,MultiLayerNetwork,checkpoint_19_MultiLayerNetwork.zip
20,1731105525288,145,0,MultiLayerNetwork,checkpoint_20_MultiLayerNetwork.zip
21,1731105557888,151,0,MultiLayerNetwork,checkpoint_21_MultiLayerNetwork.zip
22,1731105589140,157,0,MultiLayerNetwork,checkpoint_22_MultiLayerNetwork.zip
23,1731105621688,163,0,MultiLayerNetwork,checkpoint_23_MultiLayerNetwork.zip
24,1731105654570,170,0,MultiLayerNetwork,checkpoint_24_MultiLayerNetwork.zip
25,1731105689055,177,0,MultiLayerNetwork,checkpoint_25_MultiLayerNetwork.zip
26,1731105720702,184,0,MultiLayerNetwork,checkpoint_26_MultiLayerNetwork.zip
27,1731105753694,191,0,MultiLayerNetwork,checkpoint_27_MultiLayerNetwork.zip
28,1731105785595,197,0,MultiLayerNetwork,checkpoint_28_MultiLayerNetwork.zip
29,1731105817275,203,0,MultiLayerNetwork,checkpoint_29_MultiLayerNetwork.zip
30,1731105850154,209,0,MultiLayerNetwork,checkpoint_30_MultiLayerNetwork.zip
31,1731105883017,215,0,MultiLayerNetwork,checkpoint_31_MultiLayerNetwork.zip
32,1731105915749,221,0,MultiLayerNetwork,checkpoint_32_MultiLayerNetwork.zip
33,1731105948617,227,0,MultiLayerNetwork,checkpoint_33_MultiLayerNetwork.zip
34,1731105981189,233,0,MultiLayerNetwork,checkpoint_34_MultiLayerNetwork.zip
35,1731106013717,239,0,MultiLayerNetwork,checkpoint_35_MultiLayerNetwork.zip
36,1731106046497,245,0,MultiLayerNetwork,checkpoint_36_MultiLayerNetwork.zip
37,1731106079357,251,0,MultiLayerNetwork,checkpoint_37_MultiLayerNetwork.zip
38,1731106112225,257,0,MultiLayerNetwork,checkpoint_38_MultiLayerNetwork.zip
39,1731106145121,263,0,MultiLayerNetwork,checkpoint_39_MultiLayerNetwork.zip
40,1731106178089,269,0,MultiLayerNetwork,checkpoint_40_MultiLayerNetwork.zip
41,1731106210991,275,0,MultiLayerNetwork,checkpoint_41_MultiLayerNetwork.zip
42,1731106243811,281,0,MultiLayerNetwork,checkpoint_42_MultiLayerNetwork.zip
43,1731106276748,287,0,MultiLayerNetwork,checkpoint_43_MultiLayerNetwork.zip
44,1731106309633,293,0,MultiLayerNetwork,checkpoint_44_MultiLayerNetwork.zip
45,1731106342569,299,0,MultiLayerNetwork,checkpoint_45_MultiLayerNetwork.zip
46,1731106375398,305,0,MultiLayerNetwork,checkpoint_46_MultiLayerNetwork.zip
47,1731106408201,311,0,MultiLayerNetwork,checkpoint_47_MultiLayerNetwork.zip
48,1731106441146,317,0,MultiLayerNetwork,checkpoint_48_MultiLayerNetwork.zip
49,1731106474122,323,0,MultiLayerNetwork,checkpoint_49_MultiLayerNetwork.zip
50,1731106506908,329,0,MultiLayerNetwork,checkpoint_50_MultiLayerNetwork.zip
51,1731106539820,335,0,MultiLayerNetwork,checkpoint_51_MultiLayerNetwork.zip
52,1731106572671,341,0,MultiLayerNetwork,checkpoint_52_MultiLayerNetwork.zip
53,1731106605362,347,0,MultiLayerNetwork,checkpoint_53_MultiLayerNetwork.zip
54,1731106638312,353,0,MultiLayerNetwork,checkpoint_54_MultiLayerNetwork.zip
55,1731106671222,359,0,MultiLayerNetwork,checkpoint_55_MultiLayerNetwork.zip
56,1731106704183,365,0,MultiLayerNetwork,checkpoint_56_MultiLayerNetwork.zip
57,1731106737224,371,0,MultiLayerNetwork,checkpoint_57_MultiLayerNetwork.zip
58,1731106770146,377,0,MultiLayerNetwork,checkpoint_58_MultiLayerNetwork.zip
59,1731106803087,383,0,MultiLayerNetwork,checkpoint_59_MultiLayerNetwork.zip
60,1731106835881,389,0,MultiLayerNetwork,checkpoint_60_MultiLayerNetwork.zip
61,1731106868793,395,0,MultiLayerNetwork,checkpoint_61_MultiLayerNetwork.zip
62,1731106901771,401,0,MultiLayerNetwork,checkpoint_62_MultiLayerNetwork.zip
63,1731106934615,407,0,MultiLayerNetwork,checkpoint_63_MultiLayerNetwork.zip
64,1731106967370,413,0,MultiLayerNetwork,checkpoint_64_MultiLayerNetwork.zip
65,1731107000181,419,0,MultiLayerNetwork,checkpoint_65_MultiLayerNetwork.zip
66,1731107033159,425,0,MultiLayerNetwork,checkpoint_66_MultiLayerNetwork.zip
67,1731107063838,431,0,MultiLayerNetwork,checkpoint_67_MultiLayerNetwork.zip
68,1731107096201,438,0,MultiLayerNetwork,checkpoint_68_MultiLayerNetwork.zip
